content,name,sentiment
Especialízate en la gestión de personas con nuestros programas especializados en Recursos Humanos y Relaciones Laborales adaptados a las últimas tendencias digitales y las nuevas tecnologías.✅ Máster Executive en Recursos Humanos✅ Programa Executive en Relaciones Laborales✅ Programa Executive en Compensación y Beneficios,Centro de Estudios Garrigues,0.0
"In a world that likes different cultures and worldwide friendships, knowing many languages can really help! Do you think being multilingual can change your career for the better in tech? 🗣 Share your experiences with us! Vote now!",Ironhack Netherlands,0.9242
"Dealmate was born with the joined forces of Iñigo, Adrian, and Sharon with a common objective. To connect startup founders with talented creatives.Having had experiences on both sides of the table we realize the huge hustle for founders to find reliable and talented creatives to build their vision. After a few bad experiences with Fiverr and other freelancer platforms, they often rely on word of mouth to find studios, agencies, and professionals who can take care of the task without adding extra headaches.On the other hand, talented creatives and professionals seem to have to sell themselves to unfair competition on price in crowded marketplaces or become a social media content machine to stand through the noise, at the cost of not being able to focus on doing the work.This is why Dealmate was born.A curated digital media platform and connector dedicated to communicating the impact of innovation and design, sharing, and amplifying stories from founders and creatives. Dealmate aims to empower the ecosystem by connecting the ambition of startup founders with talented creatives who can make their vision a reality with their skills and expertise.On Dealmate, startup founders will be able to learn, stay up to date, and discover new providers of the services they most need like product design studio, branding, development, legal, paid media, and much more.Then, Dealmate connects founders with a curated network of studios, agencies, and professionals that will excel at their demands, creating a win-win situation where these professionals get offered deals on our platform, without having to be out there selling themselves on social media.To sum up,“Dealmates is like if Tinder, Uber, and Techcrunch had a baby”Are you joining our adventure?",dealmate,0.9901
"Se acabó necesitar un equipo de la NASA para poner R en producciónUn par de científicos de datos han escapado con información confidencial y han logrado compartir con nosotros parte de las investigacionesLeonardo Hansa y José Luis Cañadas RecheSe ha ""filtrado"" una grabación con sus conversaciones 📼 Nombre del caso: ""CuaRtil""Nivel de seguridad: ConfidencialEn la cinta mencionan pasos para poner en producción modelos de R -Automatización de scripts con librerías CronR y ScheduleR ⌚ -Creación de APIs mediante la librería PlumbeR 👷‍♂️ -Monitorizar uso del modelo con VetiveR 📉 -Aislar el modelo en Docker 🐳 Conscientes de que hay personas que quieren seguir sus pasosHan decidido ampliar más informaciónE incluso hacer una demostración para los incrédulosSi te interesa te dejo en comentarios dónde y cuándo encontrarles 🕵‍♂️ Pero ten cuidado con quien lo compartes, todavía les buscan 👀 ----Si te gusta el análisis de datos, programar en #R y/o #Python, leer contenido sobre visualización de datos y estar enterad@ de los eventos y reuniones importantes que se organizan en España...Te animo a seguirme o conectar conmigo Adrián Alvarez Molina para que no te pierdas día a día lo que comparto de estos temas 👨‍💻 Pd: Se ha avisado de que los sujetos no son peligrososSon personas majísimas y os recomiendo seguirles también en LinkedIn(Si la NASA no les detiene y las cierra las cuentas 😜 )",Adrián Álvarez Molina,-0.2023
I’m happy to share that I’ve obtained a new certification: Vizia Foundations Certificate from Brandwatch!,💭William Mollers💭,0.7345
"Happy Monday LinkedIn! 👋 I hope everyone is well and had a nice weekend.Finally, there has been an update on the Golang blog and this one is a very special article as it celebrates the FOURTEENTH! year of the programming language which was celebrated on last Friday, so happy belated birthday Golang!'Go' check it out now! 😉 https://lnkd.in/ecw3ywwj#golang #golangdeveloper #godeveloper #golangengineer #goengineer #blog #article",Tommy King,0.9814
"¿Te interesa el futuro de la FP dual💡?No te pierdas la nueva edición del #ForoFPDual que tendrá lugar del 21 al 22 de noviembre en el Campus Repsol. Centros educativos, empresas, instituciones, agentes sociales y expertos nacionales e internacionales debatirán sobre la transición de la #FPdual hacia un modelo de éxito de futuro🚀. No pierdas la oportunidad y reserva tu entrada presencial👇",Fundación Bertelsmann,-0.296
"🔴 Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning & Big Data 🔴 🧠 Neural Networks simplified: From concepts to calculations.💡 Machine Learning made manageable - because who doesn't love shortcuts?👨‍💻 Deep Learning demystified: Tips and tricks at your fingertips.📊 Big Data broken down: Less overwhelm, more insight.🤖 AI advancements are accelerating - stay ahead with these essential cheats.👍 Like these life-savers? Smash the like and repost for more!🔗 Follow Kalhara Sandaruwan for cutting-edge content on AI and Big Data.#AI #NeuralNetworks #MachineLearning #DeepLearning #BigData #TechTips #DataScience #Innovation #FutureTech #TechCommunity","Artificial Intelligence, Machine Learning, Data Science & Robotics",-0.7922
"🚨DERNIÈRE CHANCE! 🚨 Ce samedi, un atelier vous attend chez Ironhack ! En une journée, nous vous guiderons à travers les bases du code, vous permettant de créer votre propre page web avec HTML et CSS.⏰ C'est maintenant ou jamais! Ne laissez pas passer cette chance de développer des compétences qui peuvent vous ouvrir les portes du monde de la tech.🌟 Pourquoi vous inscrire :• Apprenez à coder avec des experts du domaine.• Découvrez des astuces et des conseils pour vous lancer dans la tech.• Rencontrez d'autres passionnés et agrandissez votre réseau.🤓// Au programme //🤓9:30 - 10:00 Petit-déjeuner (offert) 🥐10:00 - 12:30 Apprendre les bases de HTML & CSS12:30 - 13:30 Pause déjeuner13:30 - 17:00 Création de votre page web17:00 - 17:30 Présentation des projets17:30 - 18:30 Apéro Networking (1 boisson offerte)Cliquez sur le lien en commentaire pour vous inscrire ! 🚀",Ironhack France,0.7097
"Volvo Cars is hiring a Senior Accountant Warranty in our Global Accounting Delivery Team in our headquarters in Gothenburg (SE). Join Hamed Milanian's team responsible for Sales, Inventory and Warranty Accounting and contribute to our biggest transformation to date: Becoming a fully electric brand with direct and online sales.Do you have 2+ years experience in Accounting and do you speak fluent English, please apply before 16th of November!https://lnkd.in/d3RhnTAQ#lifeatvolvocars",Anita Noordzij,0.7263
"Reach 930M+ professionals globally with LinkedIn Ads. Engage decision makers, influencers, and everyone who matter most to your business. https://lnkd.in/gTP7bM8q",LinkedIn Ads,0.3818
"Hoy toca morder la manzana y aprender PythonDominar a esta 🐍 parece imprescindible si quieres aplicar la ciencia de datos y hacer machine-learning Poco te puedo contar que no sepas de PythonPor eso quiero me cuente tú lo que sabes¿Cuándo lo aprendiste?¿Para que sueles usarlo?¿Qué es lo que más te gusta?¿A quien me recomiendas seguir en LinkedIn que hable de python?Si como yo, no lo has aprendido todavíaTe animo a que sigas el hastagh #MyFirstPythonMonthY ahí compartiré las cosas que aprendo día a día de pythonPor supuesto, si has empezado hace poco cuéntame que tal¿Qué te animó a dejarte seducir por esta 🐍?¿Que curso/plataforma has elegido? ¿Para qué quieres aprenderlo?Yo te dejo mis respuestas abajo en comentarios----Si te apetece leer más contenido sobre #python #powerbi y más herramientas necesarias para convertirse en analista de datosSígueme por LinkedIn Adrián Alvarez MolinaPd: Le estoy cogiendo gustillo a hacer imágenes con DALL·E·3",Adrián Álvarez Molina,-0.6553
"If you have between 15 - 20 years of work experience, those aspects probably will describe you:✔️You have a reputation in your industry.✔️People know you in the market, and associate you with the industry or company you have been working for.✔️You probably have a package of benefits and work conditions that are good (or great, or at least “OK”), and you make your financial commitments considering that.✔️You are not struggling with money. Instead, money supports the lifestyle you have and allows you to do what you want to do.✔️You feel active and want to enjoy and grow your career.✔️Making an impact and using your time in a productive and meaningful way is something that comes to your mind often.✔️You enjoy having time to spend with your family and friends, and to dedicate to the things outside of work that bring you joy (like hobbies, travel, etc).To summarize: You deeply care about your career, and you don’t want to feel you are “wasting your time” in a job that makes no sense to you anymore, in a job that feels empty or that just “pay the bills”.Flexibility is something important to you, and you want to increase that in your routine.If this post resonates with you, I want to talk to you. Please send me a direct message, because I have something special for you.If you know someone (a friend, your partner, a family member or a work colleague) that is just like I described, share this post with this person.#####I’m Juliana Rabbi, Career Coach for Remote JobsI help Senior professionals wanting a remote job to live & work in the ways they want Like this post? Want to see more? Follow me on and click 🔔172 client testimonials and 5 ⭐️ recommendation on LinkedIn110 Videos in my YouTube channel - https://lnkd.in/eeS9uHFJLet’s talk? https://lnkd.in/eJ4wYxQP#jobsearch #career #careerchange #leadership #jobsearching",Juliana Rabbi - Remote Work Coach,0.995
"I have exciting news for you! 🎉The first edition of FIX IT! will be available for purchase next month! Stay connected for more details on where to buy the game that will change the way you learn and teach about integrity issues 🙌🏽FIX IT! was created by sports ethicists who carefully drafted these cards and tested the game with Olympians, para athletes, elite and amateur athletes, high school students and teachers, university (bachelor and master) students and professors, sports managers, and non sporty people from more than 30 countries, aged 13+.This fun game will simplify introductions to sport integrity, it will support integrity and educational personnel, but also will enrich an open-culture around integrity and empower a generation of ethical thought-leaders.🤔But… Is FIX IT! just a card game? You will find out soon👀 If you can’t wait to know more, feel free to contact me directly 😉#fixitthegame #education #innovation #sport #ethics #integrity #sportvalues #game #athletesrights",Victoria Conde Sancho,0.9754
"¿Te has preguntado cómo proteger tu empresa del fraude en el sector financiero? Descubre en este webinar cómo la Videoidentificación puede ser tu mejor aliado, tal y como lo ha sido para líderes del sector como MyInvestor y EVO Banco.⏱En solo 30 minutos, aprenderás:✅ Blindaje Contra el Fraude: Cómo la videoidentificación se convierte en tu escudo protector y tu aliado estratégico.✅ Seguridad Multinivel: Desde pruebas de vida hasta hologramas y OCR.✅ Casos de Éxito: La experiencia de EVO Banco y MyInvestor.📅21 de noviembre a las 11:30👉 Regístrate y descubre cómo combatir el fraude",Electronic IDentification (A Signicat Company),0.34
Discover the 10 possible reasons why you’re seeing discrepancies in conversions in Google Analytics 4 and solve them right away! → https://goo.gle/3tP0QHo,Google Analytics,0.2714
The way we conduct interviews has evolved. We are interested to hear your thoughts on what format you prefer and whether your preference changes depending on the stage of the selection process. Which works best for you?,E-Frontiers,0.7845
"How can we reduce gender gaps?The 2023 The Nobel Prize in Economics to the American Claudia Goldin for her work on the evolution of women's place in the labor market and their income underlines the importance of scientific research and its role in social justice (by the way, it is the first time a woman wins this Prize all by herself!).Yes, science is an essential lever in the fight against inequalities between men and women which persist in many countries and in all strata of our societies.That is why I highly recommend that you listen to (and share!) the AXA Research Fund’s masterclass by Anne Boring, head of the Women in Business chair at Sciences Po Paris, supported by AXA.👉 https://lnkd.in/eQ5ku4raIf you think you already know everything about gender inequalities in the workplace and how to tackle them, I promise you will be surprised. I can’t thank her enough for her enlightening insights on how to foster female entrepreneurship and leadership, as well as the effective policies and measures to bridge the gaps!#genderequality #womeninbusiness #entrepreunership #masterclass #DiversityAndInclusion #MasterScience Julia d'Astorg Isabelle Bergeron Martin Powell",Ulrike Decoene,0.9796
"📢 Développement RH - CDD Disneyland Paris dès que possible 📢Nous recherchons activement une princesse ou un jedi en tant que coordinateur(trice) RH #Campus dans notre équipe avec Laora ! 🔎🏰Il s'agit d'un #CDD ""hakuna matata🎵"" jusqu’au 30/08/2024 📝Nos prérequis : idéalement Bac+4/5 en RH et 3 ans minimum sur des fonctions équivalentes à HRBP ou dans l’élaboration de stratégies #RH 🤓🦸‍♂️ N'hésitez pas à partager et à postuler pour devenir un(e) Avengers ! 🤝👇https://lnkd.in/em77hbT6#DLP #DisneylandParis #fairerevercestunmetier #disney #disneyland #recrutement  #iciçarecrute #candidature #développementRH #stratégieRH SONIA Laetitia Yanis Pierre-Julien Eddy Elisa",Alban Flores,0.0
"📢🎉 Today, we are absolutely delighted to announce the newest addition to our ever-growing Minimum.run team: Lautaro Germán Zúñiga Garrido! 📢🎉He is joining the esteemed team at Minimum.run as a #BackEnd #Developer, and we couldn't be more thrilled! 👏Now, let's hear directly from Lautaro as he shares a few words about himself 👇 ""I've been working as a Software Developer for 7 years. During this time, I have specialized in backend development, working with technologies such as Node.js, NestJS, and both NoSQL and #SQL databases. My passion lies in creating seamless, scalable software solutions and diving into new #tech developments.Outside of work, I find balance and energy in sports and spending time with my dogs. These passions keep my mind sharp and my teamwork skills on point. I'm keen to explore new professional avenues where I can contribute my expertise and collaborate with innovative teams.""A warm welcome to the Minimum.run and Modulor Ventures family, Lautaro! 👏👏We are absolutely thrilled to have you on board. 👩‍🚀",Minimum.run,0.9695
"La semana pasada compré seguidores en Instagram y en TikTok y esto es lo que ocurrió:Yo llevaba mucho tiempo con la mosca detrás de la oreja, y es que me daba la sensación (porque yo también me comporto así a veces) de que mucha gente no me empezaba a seguir en redes o a comprar porque tenía pocos seguidores. Al igual que muchas veces no entramos en tiendas porque no vemos gente dentro, algo así. ¡Y equilicuá! 💡No sé a qué se debió, si a todo el contenido que estaba subiendo sumado al social proof de los seguidores, a que un post se me había hecho medio viral en TikTok, pero la semana pasada facturé casi 300€ 🥰 Y os preguntaréis, ¿estas clientas eran nuevas? Creo que 100% captación fue una clienta, el resto eran clientas que estaban en el funnel y que de repente compraron. ¿Y porqué lo sé? Porque sigo a cada una de las chicas que me escriben, dejan comentarios, dan likes etc. Así puedo seguirlas y estudiarlas. Tampoco es así pero me voy quedando con cosas y al principio creo que es importante que nos conozcamos, como cuando tienes tu propia tienda de barrio, pues así 💛 Esto lo aprendí en el chiringuito que tuve que vendía helados y cola-colas, pero esa es otra historia...Volviendo al experimento, hablando con otros compañeros, me contaron que hay mucha gente que cuando lanza un proyecto compra 2k seguidores del tirón, y que gracias a esa base es que consigue que la gente le siga y crezca. Yo esta no me la sabía, y con lo barato que es.. también creo que para contactar a influencers o medios puede ayudar, a ver si en el Q1 del 2024 consigo salir en prensa 🤞🏻En fin, la verdad es que no me arrepiento de nada 😂Comprar seguidores en Instagram 20€ - ventas 280€ (no podemos atribuir al 100%, pero en mi cabeza de #girlsmath podría ser) 🤔",🦄 Bárbara Quecedo Urtizberea,-0.7752
"¿Quieres Liderar el Futuro de la Movilidad 4.0? Fórmate en los últimos avances y tendencias tecnológicas aplicadas a la Movilidad Urbana, el Transporte y la Logística. ¡Formación Financiada, Últimas Plazas!",UPC School (Universitat Politècnica de Catalunya),0.0
Google Bard alucina y dice que yo he pasado dos años en la cárcel #google #bard #ai #ia #llm #chatgpt #hallucination #inteligenciaartificial https://lnkd.in/dbKVQq4A,Chema Alonso,0.0
